AMD,Advanced Micro Devices,Information Technology
AMZN,Amazon.com Inc.,Consumer Discretionary
AAPL,Apple Inc.,Information Technology
KO,Coca-Cola Company,Consumer Staples
EBAY,eBay Inc.,Consumer Discretionary
EA,Electronic Arts,Communication Services
GE,General Electric,Industrials
JNJ,Johnson & Johnson,Health Care
NFLX,Netflix Inc.,Communication Services
NKE,Nike Inc.,Consumer Discretionary
NVDA,Nvidia Corporation,Information Technology
ORCL,Oracle Corp.,Information Technology
PYPL,PayPal,Information Technology
TSLA,Tesla Inc.,Consumer Discretionary
WU,Western Union Co,Information Technology
